track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source,lyrics_path_genius,lyrics_path_whisper,text_path_combined,text_source_combined,text_exists
64594,banjo mouth,Buildings and Mountains,Experimental,data\fma_small\fma_small\064\064594.mp3,data\whisper_transcriptions\Buildings and Mountains - banjo mouth 64594.txt,whisper,,data\whisper_transcriptions\Buildings and Mountains - banjo mouth 64594.txt,data\lyrics_combined\Buildings and Mountains - banjo mouth (64594).txt,whisper,True
144545,"Grace, Fully (Acoustic)",Wildlight,Folk,data\fma_small\fma_small\144\144545.mp3,data\lyrics\Wildlight - Grace_ Fully _144545_.txt,genius,data\lyrics\Wildlight - Grace_ Fully _144545_.txt,,data\lyrics_combined\Wildlight - Grace_ Fully (Acoustic) (144545).txt,genius,True
49066,I Just Can't Stand Wangdangers,Justice Yeldham,Experimental,data\fma_small\fma_small\049\049066.mp3,data\whisper_transcriptions\Justice Yeldham - I Just Can't Stand Wangdangers 49066.txt,whisper,,data\whisper_transcriptions\Justice Yeldham - I Just Can't Stand Wangdangers 49066.txt,data\lyrics_combined\Justice Yeldham - I Just Can_t Stand Wangdangers (49066).txt,whisper,True
152545,Where the Sunshine Goes,Yshwa,Hip-Hop,data\fma_small\fma_small\152\152545.mp3,data\whisper_transcriptions\Yshwa - Where the Sunshine Goes 152545.txt,whisper,,data\whisper_transcriptions\Yshwa - Where the Sunshine Goes 152545.txt,data\lyrics_combined\Yshwa - Where the Sunshine Goes (152545).txt,whisper,True
92206,Zlevnené zboží,Čaj na Ex,International,data\fma_small\fma_small\092\092206.mp3,data\whisper_transcriptions\Čaj na Ex - Zlevnené zboží 92206.txt,whisper,,data\whisper_transcriptions\Čaj na Ex - Zlevnené zboží 92206.txt,data\lyrics_combined\Čaj na Ex - Zlevnené zboží (92206).txt,whisper,True
148211,Summertime,Josh Armistead,Folk,data\fma_small\fma_small\148\148211.mp3,data\whisper_transcriptions\Josh Armistead - Summertime 148211.txt,whisper,,data\whisper_transcriptions\Josh Armistead - Summertime 148211.txt,data\lyrics_combined\Josh Armistead - Summertime (148211).txt,whisper,True
140875,You Are In My Arms,Sylvie Simmons,Folk,data\fma_small\fma_small\140\140875.mp3,data\whisper_transcriptions\Sylvie Simmons - You Are In My Arms 140875.txt,whisper,,data\whisper_transcriptions\Sylvie Simmons - You Are In My Arms 140875.txt,data\lyrics_combined\Sylvie Simmons - You Are In My Arms (140875).txt,whisper,True
129268,Under The Sea,The IMG,Rock,data\fma_small\fma_small\129\129268.mp3,data\whisper_transcriptions\The IMG - Under The Sea 129268.txt,whisper,,data\whisper_transcriptions\The IMG - Under The Sea 129268.txt,data\lyrics_combined\The IMG - Under The Sea (129268).txt,whisper,True
11770,Future Music Instrumental     {6th Sense},6th Sense,Hip-Hop,data\fma_small\fma_small\011\011770.mp3,data\whisper_transcriptions\6th Sense - Future Music Instrumental     {6th Sense} 11770.txt,whisper,,data\whisper_transcriptions\6th Sense - Future Music Instrumental     {6th Sense} 11770.txt,data\lyrics_combined\6th Sense - Future Music Instrumental _6th Sense_ (11770).txt,whisper,True
42031,Henri Martin Affair  (Sweden),Uffe,International,data\fma_small\fma_small\042\042031.mp3,data\whisper_transcriptions\Uffe - Henri Martin Affair  (Sweden) 42031.txt,whisper,,data\whisper_transcriptions\Uffe - Henri Martin Affair  (Sweden) 42031.txt,data\lyrics_combined\Uffe - Henri Martin Affair (Sweden) (42031).txt,whisper,True
75786,Write it Down,Square People,Rock,data\fma_small\fma_small\075\075786.mp3,data\whisper_transcriptions\Square People - Write it Down 75786.txt,whisper,,data\whisper_transcriptions\Square People - Write it Down 75786.txt,data\lyrics_combined\Square People - Write it Down (75786).txt,whisper,True
56499,Weed Man Skit,Opio,Hip-Hop,data\fma_small\fma_small\056\056499.mp3,data\whisper_transcriptions\Opio - Weed Man Skit 56499.txt,whisper,,data\whisper_transcriptions\Opio - Weed Man Skit 56499.txt,data\lyrics_combined\Opio - Weed Man Skit (56499).txt,whisper,True
134486,Love&Heartbreak,Squire Tuck,Pop,data\fma_small\fma_small\134\134486.mp3,data\whisper_transcriptions\Squire Tuck - Love&Heartbreak 134486.txt,whisper,,data\whisper_transcriptions\Squire Tuck - Love&Heartbreak 134486.txt,data\lyrics_combined\Squire Tuck - Love_Heartbreak (134486).txt,whisper,True
42138,Capture My Soul,Colin Shaddick & Roger Nicholls,Experimental,data\fma_small\fma_small\042\042138.mp3,data\whisper_transcriptions\Colin Shaddick & Roger Nicholls - Capture My Soul 42138.txt,whisper,,data\whisper_transcriptions\Colin Shaddick & Roger Nicholls - Capture My Soul 42138.txt,data\lyrics_combined\Colin Shaddick _ Roger Nicholls - Capture My Soul (42138).txt,whisper,True
25028,La Circiuma de la Drum-Bessarabian Rom Hora,Romashka,International,data\fma_small\fma_small\025\025028.mp3,data\whisper_transcriptions\Romashka - La Circiuma de la Drum-Bessarabian Rom Hora 25028.txt,whisper,,data\whisper_transcriptions\Romashka - La Circiuma de la Drum-Bessarabian Rom Hora 25028.txt,data\lyrics_combined\Romashka - La Circiuma de la Drum-Bessarabian Rom Hora (25028).txt,whisper,True
10807,Three Owls Teahaus,Lesbian Afternoon,Pop,data\fma_small\fma_small\010\010807.mp3,data\whisper_transcriptions\Lesbian Afternoon - Three Owls Teahaus 10807.txt,whisper,,data\whisper_transcriptions\Lesbian Afternoon - Three Owls Teahaus 10807.txt,data\lyrics_combined\Lesbian Afternoon - Three Owls Teahaus (10807).txt,whisper,True
117631,The Answer,Julia K. Mars,Folk,data\fma_small\fma_small\117\117631.mp3,data\whisper_transcriptions\Julia K. Mars - The Answer 117631.txt,whisper,,data\whisper_transcriptions\Julia K. Mars - The Answer 117631.txt,data\lyrics_combined\Julia K. Mars - The Answer (117631).txt,whisper,True
145729,So On and Yo! (D.A.I.S.Y. Age Instrumental),LOWdown,Hip-Hop,data\fma_small\fma_small\145\145729.mp3,data\whisper_transcriptions\LOWdown - So On and Yo! (D.A.I.S.Y. Age Instrumental) 145729.txt,whisper,,data\whisper_transcriptions\LOWdown - So On and Yo! (D.A.I.S.Y. Age Instrumental) 145729.txt,data\lyrics_combined\LOWdown - So On and Yo_ (D.A.I.S.Y. Age Instrumental) (145729).txt,whisper,True
134940,-Aman Avci Vurma Mani,"Turku, Nomads of the Silk Road",International,data\fma_small\fma_small\134\134940.mp3,"data\whisper_transcriptions\Turku, Nomads of the Silk Road - -Aman Avci Vurma Mani 134940.txt",whisper,,"data\whisper_transcriptions\Turku, Nomads of the Silk Road - -Aman Avci Vurma Mani 134940.txt",data\lyrics_combined\Turku_ Nomads of the Silk Road - -Aman Avci Vurma Mani (134940).txt,whisper,True
63805,Meridian Sound (Part Three),Lushlife,Hip-Hop,data\fma_small\fma_small\063\063805.mp3,data\whisper_transcriptions\Lushlife - Meridian Sound (Part Three) 63805.txt,whisper,,data\whisper_transcriptions\Lushlife - Meridian Sound (Part Three) 63805.txt,data\lyrics_combined\Lushlife - Meridian Sound (Part Three) (63805).txt,whisper,True
146681,moonrawks,Tha Silent Partner,Hip-Hop,data\fma_small\fma_small\146\146681.mp3,data\whisper_transcriptions\Tha Silent Partner - moonrawks 146681.txt,whisper,,data\whisper_transcriptions\Tha Silent Partner - moonrawks 146681.txt,data\lyrics_combined\Tha Silent Partner - moonrawks (146681).txt,whisper,True
127182,Springtime,Wintermitts,Pop,data\fma_small\fma_small\127\127182.mp3,data\whisper_transcriptions\Wintermitts - Springtime 127182.txt,whisper,,data\whisper_transcriptions\Wintermitts - Springtime 127182.txt,data\lyrics_combined\Wintermitts - Springtime (127182).txt,whisper,True
9550,Slippershell,Kristin Hersh,Rock,data\fma_small\fma_small\009\009550.mp3,data\lyrics\Kristin Hersh - Slippershell _9550_.txt,genius,data\lyrics\Kristin Hersh - Slippershell _9550_.txt,,data\lyrics_combined\Kristin Hersh - Slippershell (9550).txt,genius,True
73171,Barbry Allen,Howie Mitchell & Charlotte Williams,Folk,data\fma_small\fma_small\073\073171.mp3,data\whisper_transcriptions\Howie Mitchell & Charlotte Williams - Barbry Allen 73171.txt,whisper,,data\whisper_transcriptions\Howie Mitchell & Charlotte Williams - Barbry Allen 73171.txt,data\lyrics_combined\Howie Mitchell _ Charlotte Williams - Barbry Allen (73171).txt,whisper,True
4239,Shishituki,The Sounds of Taraab,International,data\fma_small\fma_small\004\004239.mp3,data\whisper_transcriptions\The Sounds of Taraab - Shishituki 4239.txt,whisper,,data\whisper_transcriptions\The Sounds of Taraab - Shishituki 4239.txt,data\lyrics_combined\The Sounds of Taraab - Shishituki (4239).txt,whisper,True
36275,"Restaurant Concert, Song 1",Demiran Ćerimović and His Orkestar,International,data\fma_small\fma_small\036\036275.mp3,"data\whisper_transcriptions\Demiran Ćerimović and His Orkestar - Restaurant Concert, Song 1 36275.txt",whisper,,"data\whisper_transcriptions\Demiran Ćerimović and His Orkestar - Restaurant Concert, Song 1 36275.txt",data\lyrics_combined\Demiran Ćerimović and His Orkestar - Restaurant Concert_ Song 1 (36275).txt,whisper,True
89486,Poor Man,John Wort Hannam,Folk,data\fma_small\fma_small\089\089486.mp3,data\whisper_transcriptions\John Wort Hannam - Poor Man 89486.txt,whisper,,data\whisper_transcriptions\John Wort Hannam - Poor Man 89486.txt,data\lyrics_combined\John Wort Hannam - Poor Man (89486).txt,whisper,True
145744,Jazzy Hip-Hop (Featuring Long John),Cheese N Pot-C,Hip-Hop,data\fma_small\fma_small\145\145744.mp3,data\whisper_transcriptions\Cheese N Pot-C - Jazzy Hip-Hop (Featuring Long John) 145744.txt,whisper,,data\whisper_transcriptions\Cheese N Pot-C - Jazzy Hip-Hop (Featuring Long John) 145744.txt,data\lyrics_combined\Cheese N Pot-C - Jazzy Hip-Hop (Featuring Long John) (145744).txt,whisper,True
109905,Sitting In a Garden of My Own,Debby Schwartz,Folk,data\fma_small\fma_small\109\109905.mp3,data\whisper_transcriptions\Debby Schwartz - Sitting In a Garden of My Own 109905.txt,whisper,,data\whisper_transcriptions\Debby Schwartz - Sitting In a Garden of My Own 109905.txt,data\lyrics_combined\Debby Schwartz - Sitting In a Garden of My Own (109905).txt,whisper,True
105720,Extension,Gatherer,Experimental,data\fma_small\fma_small\105\105720.mp3,data\whisper_transcriptions\Gatherer - Extension 105720.txt,whisper,,data\whisper_transcriptions\Gatherer - Extension 105720.txt,data\lyrics_combined\Gatherer - Extension (105720).txt,whisper,True
67007,The Great Cape,Kid Flicks,Pop,data\fma_small\fma_small\067\067007.mp3,data\whisper_transcriptions\Kid Flicks - The Great Cape 67007.txt,whisper,,data\whisper_transcriptions\Kid Flicks - The Great Cape 67007.txt,data\lyrics_combined\Kid Flicks - The Great Cape (67007).txt,whisper,True
38781,"Denis Murphy's, John Ryan's",Sláinte,International,data\fma_small\fma_small\038\038781.mp3,"data\whisper_transcriptions\Sláinte - Denis Murphy's, John Ryan's 38781.txt",whisper,,"data\whisper_transcriptions\Sláinte - Denis Murphy's, John Ryan's 38781.txt",data\lyrics_combined\Sláinte - Denis Murphy_s_ John Ryan_s (38781).txt,whisper,True
123981,Shine Bright,"The Polish Ambassador, Mr. Lif, Ayla Nereo",Hip-Hop,data\fma_small\fma_small\123\123981.mp3,"data\whisper_transcriptions\The Polish Ambassador, Mr. Lif, Ayla Nereo - Shine Bright 123981.txt",whisper,,"data\whisper_transcriptions\The Polish Ambassador, Mr. Lif, Ayla Nereo - Shine Bright 123981.txt",data\lyrics_combined\The Polish Ambassador_ Mr. Lif_ Ayla Nereo - Shine Bright (123981).txt,whisper,True
127274,This Turkey Town,Hissing Fauna,Pop,data\fma_small\fma_small\127\127274.mp3,data\whisper_transcriptions\Hissing Fauna - This Turkey Town 127274.txt,whisper,,data\whisper_transcriptions\Hissing Fauna - This Turkey Town 127274.txt,data\lyrics_combined\Hissing Fauna - This Turkey Town (127274).txt,whisper,True
137593,Rock n' Roll (2008),Dyslexic Fudgicle,Rock,data\fma_small\fma_small\137\137593.mp3,data\whisper_transcriptions\Dyslexic Fudgicle - Rock n' Roll (2008) 137593.txt,whisper,,data\whisper_transcriptions\Dyslexic Fudgicle - Rock n' Roll (2008) 137593.txt,data\lyrics_combined\Dyslexic Fudgicle - Rock n_ Roll (2008) (137593).txt,whisper,True
63908,Death By Hangover,Tab,Hip-Hop,data\fma_small\fma_small\063\063908.mp3,data\whisper_transcriptions\Tab - Death By Hangover 63908.txt,whisper,,data\whisper_transcriptions\Tab - Death By Hangover 63908.txt,data\lyrics_combined\Tab - Death By Hangover (63908).txt,whisper,True
4685,Ever Somber,Dälek,Hip-Hop,data\fma_small\fma_small\004\004685.mp3,data\lyrics\Dälek - Ever Somber _4685_.txt,genius,data\lyrics\Dälek - Ever Somber _4685_.txt,,data\lyrics_combined\Dälek - Ever Somber (4685).txt,genius,True
203,Song For R,Ed Askew,Folk,data\fma_small\fma_small\000\000203.mp3,data\whisper_transcriptions\Ed Askew - Song For R 203.txt,whisper,,data\whisper_transcriptions\Ed Askew - Song For R 203.txt,data\lyrics_combined\Ed Askew - Song For R (203).txt,whisper,True
42046,Bottles of Reason,Dead Poets,Hip-Hop,data\fma_small\fma_small\042\042046.mp3,data\whisper_transcriptions\Dead Poets - Bottles of Reason 42046.txt,whisper,,data\whisper_transcriptions\Dead Poets - Bottles of Reason 42046.txt,data\lyrics_combined\Dead Poets - Bottles of Reason (42046).txt,whisper,True
40541,kiss of halloween,uiutna,Hip-Hop,data\fma_small\fma_small\040\040541.mp3,data\whisper_transcriptions\uiutna - kiss of halloween 40541.txt,whisper,,data\whisper_transcriptions\uiutna - kiss of halloween 40541.txt,data\lyrics_combined\uiutna - kiss of halloween (40541).txt,whisper,True
13804,Life's A Beach,The Professional Savage,Hip-Hop,data\fma_small\fma_small\013\013804.mp3,data\whisper_transcriptions\The Professional Savage - Life's A Beach 13804.txt,whisper,,data\whisper_transcriptions\The Professional Savage - Life's A Beach 13804.txt,data\lyrics_combined\The Professional Savage - Life_s A Beach (13804).txt,whisper,True
