representation,algo,params,n_clusters_found,n_noise,noise_frac,silhouette,davies_bouldin,ari,score
vae_mm_latents,kmeans,k=4,4,0,0.0,0.2754082977771759,1.149456550026753,0.049380347785122854,0.09489733555694813
vae_mm_latents,agglomerative,"k=4,ward",4,0,0.0,0.3115844130516052,1.1105900051167883,0.042667095650900703,0.13213350767914828
vae_mm_latents,kmeans,k=5,5,0,0.0,0.2960211932659149,1.0352626612811373,0.05068750313333862,0.1396561641430261
vae_mm_latents,agglomerative,"k=5,ward",5,0,0.0,0.19574250280857086,1.1856758625381667,0.04568865583158305,0.004295986132520552
vae_mm_latents,kmeans,k=6,6,0,0.0,0.2799239754676819,1.1051720529900397,0.046924892032177666,0.10581445690185157
vae_mm_latents,agglomerative,"k=6,ward",6,0,0.0,0.20208919048309326,1.1426912346659763,0.04530503192739629,0.018855975477294284
vae_mm_latents,kmeans,k=7,7,0,0.0,0.27690327167510986,1.074462117488782,0.047510632384231394,0.10952148056158481
vae_mm_latents,agglomerative,"k=7,ward",7,0,0.0,0.1935228556394577,1.2079227972270508,0.04430105540444537,-0.003760648401507083
vae_mm_latents,kmeans,k=8,8,0,0.0,0.27449408173561096,1.0369494132530181,0.0466587385211899,0.11376293760619721
vae_mm_latents,agglomerative,"k=8,ward",8,0,0.0,0.18874827027320862,1.3342583613081653,0.04295440914824068,-0.0351489928401838
vae_mm_latents,dbscan,"eps=0.3,min=3",3,2913,0.9962380300957593,0.5273975729942322,0.5584070443395918,1.954464515234912e-05,-0.3812547153051413
vae_mm_latents,dbscan,"eps=0.3,min=5",0,2924,1.0,,,0.0,-3.8
vae_mm_latents,dbscan,"eps=0.3,min=8",0,2924,1.0,,,0.0,-3.8
vae_mm_latents,dbscan,"eps=0.4,min=3",4,2893,0.9893980848153214,0.4351142346858978,0.7239772250266456,0.00012085847125875037,-0.5010788197004298
vae_mm_latents,dbscan,"eps=0.4,min=5",4,2900,0.9917920656634747,0.4481041431427002,0.8337885670977216,9.113261389619142e-05,-0.5119960901937277
vae_mm_latents,dbscan,"eps=0.4,min=8",0,2924,1.0,,,0.0,-3.8
vae_mm_latents,dbscan,"eps=0.5,min=3",7,2842,0.9719562243502052,0.34367629885673523,0.4574665714273632,0.0005047698522651096,-0.5248772250566365
vae_mm_latents,dbscan,"eps=0.5,min=5",2,2876,0.9835841313269493,0.38929784297943115,0.8291008212367462,0.00022817423974060005,-0.563161452089737
vae_mm_latents,dbscan,"eps=0.5,min=8",2,2896,0.9904240766073872,0.3994797170162201,0.9121549732641395,6.269737009843522e-05,-0.5752278415524192
vae_mm_latents,dbscan,"eps=0.6,min=3",34,2682,0.9172366621067032,0.3162463307380676,0.8782144583623103,0.0019374662191618704,-0.5912484244005951
vae_mm_latents,dbscan,"eps=0.6,min=5",4,2819,0.9640902872777017,0.438992977142334,0.5282242862583448,0.0007993398054858732,-0.4371247701260106
vae_mm_latents,dbscan,"eps=0.6,min=8",1,2852,0.9753761969904241,,,0.0006347951867644019,-3.779666162405575
vae_mm_latents,dbscan,"eps=0.7,min=3",51,2378,0.8132694938440492,0.12073149532079697,0.9574367998369316,0.0065459203762698905,-0.7148255393455589
