representation,algo,params,n_clusters_found,n_noise,noise_frac,silhouette,davies_bouldin,ari,score
vae_mm_latents,kmeans,k=5,5,0,0.0,0.2960211932659149,1.0352626612811373,0.0506875031333386,0.1396561641430261
vae_mm_latents,agglomerative,"k=4,ward",4,0,0.0,0.3115844130516052,1.1105900051167883,0.0426670956509007,0.1321335076791482
vae_mm_latents,kmeans,k=8,8,0,0.0,0.2744940817356109,1.036949413253018,0.0466587385211899,0.1137629376061972
vae_mm_latents,kmeans,k=7,7,0,0.0,0.2769032716751098,1.074462117488782,0.0475106323842313,0.1095214805615848
vae_mm_latents,kmeans,k=6,6,0,0.0,0.2799239754676819,1.1051720529900395,0.0469248920321776,0.1058144569018515
vae_mm_latents,kmeans,k=4,4,0,0.0,0.2754082977771759,1.149456550026753,0.0493803477851228,0.0948973355569481
vae_mm_latents,agglomerative,"k=6,ward",6,0,0.0,0.2020891904830932,1.1426912346659763,0.0453050319273962,0.0188559754772942
vae_mm_latents,agglomerative,"k=5,ward",5,0,0.0,0.1957425028085708,1.1856758625381667,0.045688655831583,0.0042959861325205
vae_mm_latents,agglomerative,"k=7,ward",7,0,0.0,0.1935228556394577,1.2079227972270508,0.0443010554044453,-0.003760648401507
vae_mm_latents,agglomerative,"k=8,ward",8,0,0.0,0.1887482702732086,1.334258361308165,0.0429544091482406,-0.0351489928401838
baseline_lyrics_only,agglomerative,"k=6,ward",6,0,0.0,0.0231653396040201,3.921171866057801,0.0315335259479435,-0.7295355076595966
baseline_lyrics_only,kmeans,k=5,5,0,0.0,0.0293100010603666,4.213554044689698,0.0663105650946619,-0.7470902427829111
baseline_lyrics_only,kmeans,k=4,4,0,0.0,0.0357999950647354,4.140619092035602,0.0358983267822754,-0.7564254965601096
baseline_lyrics_only,kmeans,k=8,8,0,0.0,0.0308130513876676,4.39704615967116,0.0665133215062239,-0.7820828590403406
baseline_lyrics_only,agglomerative,"k=5,ward",5,0,0.0,0.0242839977145195,4.197883825626614,0.0319583723433343,-0.783334395067469
baseline_lyrics_only,agglomerative,"k=4,ward",4,0,0.0,0.0235393978655338,4.285387523213236,0.0331533590694184,-0.8003847477076947
baseline_lyrics_only,kmeans,k=7,7,0,0.0,0.0306465588510036,4.709783069133652,0.0679691310685804,-0.8433409239071462
baseline_lyrics_only,kmeans,k=6,6,0,0.0,0.029668329283595,4.769408348458179,0.0613334299751707,-0.86287991043287
baseline_lyrics_only,agglomerative,"k=8,ward",8,0,0.0,0.014989648014307,5.016560900911982,0.0494447427746122,-0.938877789393477
baseline_mel_flat,kmeans,k=7,7,0,0.0,-0.0152931865304708,4.927521940907583,0.0510924065017012,-0.9497051682102862
baseline_lyrics_only,agglomerative,"k=7,ward",7,0,0.0,0.0241157859563827,5.104042526671265,0.0423118580256519,-0.9543808613522184
baseline_mel_flat,kmeans,k=8,8,0,0.0,-0.0177783966064453,5.033756808884992,0.0513573874474228,-0.9731723709360208
baseline_mel_flat,kmeans,k=6,6,0,0.0,-0.0096699194982647,5.081461787888867,0.0498388274185267,-0.9761234496575114
baseline_mel_flat,agglomerative,"k=5,ward",5,0,0.0,-0.0466292165219783,4.941627068154772,0.0346948033527909,-1.000259826800142
baseline_mel_flat,kmeans,k=5,5,0,0.0,-0.0059658722020685,5.223404203631937,0.037340389387867,-1.013306323540589
baseline_mel_flat,agglomerative,"k=4,ward",4,0,0.0,-0.0462369471788406,5.078858477506584,0.0329103446986507,-1.0290982979815066
baseline_mel_flat,kmeans,k=4,4,0,0.0,-0.0033552141394466,5.467255699311557,0.0399387415092101,-1.0568676124925478
baseline_mel_flat,agglomerative,"k=7,ward",7,0,0.0,-0.0395979732275009,5.337309526085219,0.0367518837970949,-1.07030799464745
baseline_mel_flat,agglomerative,"k=6,ward",6,0,0.0,-0.0427342019975185,5.35779538001968,0.0350206825424297,-1.0792725954590248
baseline_mel_flat,agglomerative,"k=8,ward",8,0,0.0,-0.0406245253980159,6.112228298600476,0.039505972072362,-1.2235642130457491
