epoch,loss,recon,kl
1,0.610341,0.556083,0.054258
2,0.485694,0.485151,0.000543
3,0.483971,0.483882,0.000088
4,0.481340,0.480480,0.000860
5,0.479394,0.477870,0.001524
6,0.477468,0.475794,0.001674
7,0.479152,0.477389,0.001763
8,0.476104,0.474326,0.001779
9,0.475979,0.474240,0.001739
10,0.475943,0.474348,0.001595
11,0.475938,0.474272,0.001665
12,0.475749,0.474036,0.001713
13,0.476703,0.474880,0.001823
14,0.476844,0.475162,0.001681
15,0.474944,0.473333,0.001611
16,0.476023,0.474451,0.001572
17,0.475454,0.473832,0.001622
18,0.474640,0.473135,0.001505
19,0.475848,0.474295,0.001553
20,0.476990,0.475489,0.001502
21,0.476111,0.474837,0.001274
22,0.475609,0.474154,0.001455
23,0.477652,0.476539,0.001113
24,0.474928,0.473714,0.001214
25,0.474873,0.473692,0.001181
